Date,Time,Price
2022-06-28, 00:00:00 ,20714
2022-06-29, 00:00:00 ,20254
2022-06-30, 00:00:00 ,20089
2022-07-01, 00:00:00 ,19916
2022-07-02, 00:00:00 ,19256
2022-07-03, 00:00:00 ,19215
2022-07-04, 00:00:00 ,19281
2022-07-05, 00:00:00 ,20201
2022-07-06, 00:00:00 ,20146
2022-07-07, 00:00:00 ,20541
2022-07-08, 00:00:00 ,21606
2022-07-09, 00:00:00 ,21574
2022-07-10, 00:00:00 ,21579
2022-07-11, 00:00:00 ,20836
2022-07-12, 00:00:00 ,19944
2022-07-13, 00:00:00 ,19302
2022-07-14, 00:00:00 ,20210
2022-07-15, 00:00:00 ,20571
2022-07-16, 00:00:00 ,20818
2022-07-17, 00:00:00 ,21179
2022-07-18, 00:00:00 ,20790
2022-07-19, 00:00:00 ,22434
2022-07-20, 00:00:00 ,23392
2022-07-21, 00:00:00 ,23220
2022-07-22, 00:00:00 ,23146
2022-07-23, 00:00:00 ,22679
2022-07-24, 00:00:00 ,22442
2022-07-25, 00:00:00 ,22576
2022-07-26, 00:00:00 ,21296
2022-07-27, 00:00:00 ,21238
2022-07-28, 00:00:00 ,22948
2022-07-29, 00:00:00 ,23839
2022-07-30, 00:00:00 ,23770
2022-07-31, 00:00:00 ,23644
2022-08-01, 00:00:00 ,23299
2022-08-02, 00:00:00 ,23262
2022-08-03, 00:00:00 ,22979
2022-08-04, 00:00:00 ,22812
2022-08-05, 00:00:00 ,22603
2022-08-06, 00:00:00 ,23302
2022-08-07, 00:00:00 ,22954
2022-08-08, 00:00:00 ,23168
2022-08-09, 00:00:00 ,23802
2022-08-10, 00:00:00 ,23134
2022-08-11, 00:00:00 ,23952
2022-08-12, 00:00:00 ,23938
2022-08-13, 00:00:00 ,24403
2022-08-14, 00:00:00 ,24444
2022-08-15, 00:00:00 ,24300
2022-08-16, 00:00:00 ,24094
2022-08-17, 00:00:00 ,23840
2022-08-18, 00:00:00 ,23323
2022-08-19, 00:00:00 ,23187
2022-08-20, 00:00:00 ,20818
2022-08-21, 00:00:00 ,21126
2022-08-22, 00:00:00 ,21510
